=== 03:46:41
rule 17 | compiling | - attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:39:43
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:39:53
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:40:03
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:40:13
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:40:23
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:40:34
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:40:44
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:40:54
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:41:04
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:41:14
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
